Order,LeftD,RightD,Target,correctresp,Lag,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,participant,session,date,expName,frameRate,
81,None,None,Z,z,None,0,53,53,80,z,1,0.38556177777718403,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
7,None,None,X,x,None,0,54,54,6,x,1,0.33348844444481074,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
41,NEUTRAL,None,Z,z,3.0,0,55,55,40,z,1,0.5167919999985315,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
68,None,None,M,m,None,0,56,56,67,m,1,0.38527911110941204,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
37,NEUTRAL,None,M,m,2.0,0,57,57,36,m,1,0.4167426666645042,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
17,None,FEAR,X,x,1.0,0,58,58,16,x,1,0.3851608888908231,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
29,None,FEAR,Z,z,4.0,0,59,59,28,x,0,2.175943111113156,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
3,None,None,Z,z,None,0,60,60,2,z,1,2.172923555554007,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
80,None,None,M,m,None,0,61,61,79,z,0,0.7015920000012557,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
11,None,None,N,n,None,0,62,62,10,z,0,0.8668528888883884,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
44,None,None,Z,z,None,0,63,63,43,z,1,0.3994022222213971,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
90,None,None,X,x,None,0,64,64,89,x,1,0.5168520000006538,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
93,None,None,Z,z,None,0,65,65,92,m,0,0.6501884444442112,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
60,None,None,X,x,None,0,66,66,59,x,1,0.1835559999999532,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
21,None,FEAR,N,n,2.0,0,67,67,20,n,1,0.5496844444460294,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
87,None,None,N,n,None,0,68,68,86,x,0,0.43458266666857526,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
8,None,None,X,x,None,0,69,69,7,n,0,0.43336222222205834,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
24,None,None,N,n,None,0,70,70,23,n,1,0.13397600000098464,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
92,None,None,M,m,None,0,71,71,91,n,0,0.6670364444435108,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
59,None,None,X,x,None,0,72,72,58,n,0,0.5166044444413274,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
40,None,None,M,m,None,0,73,73,39,n,0,0.4844995555540663,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
66,None,None,X,x,None,0,74,74,65,x,1,0.9175688888863078,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
62,None,None,N,n,None,0,75,75,61,n,1,0.11815822222342831,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
43,None,None,Z,z,None,0,76,76,42,z,1,0.4006835555555881,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
32,None,None,Z,z,None,0,77,77,31,z,1,0.535242666664999,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
91,None,None,N,n,None,0,78,78,90,n,1,0.568487555556203,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
83,None,None,N,n,None,0,79,79,82,n,1,0.3355533333342464,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
86,None,None,X,x,None,0,80,80,85,x,1,0.15187955555666122,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
35,None,None,N,n,None,0,81,81,34,x,0,0.4002199999995355,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
53,None,NEUTRAL,Z,z,2.0,0,82,82,52,z,1,0.3329804444438196,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
